 INFO  Accepting connections at http://localhost:3003
 HTTP  2/22/2026 12:34:59 AM ::1 GET /
 HTTP  2/22/2026 12:34:59 AM ::1 Returned 200 in 17 ms
 HTTP  2/22/2026 12:34:59 AM ::1 GET /style.css
 HTTP  2/22/2026 12:34:59 AM ::1 Returned 200 in 1 ms
 HTTP  2/22/2026 12:34:59 AM ::1 GET /app.js
 HTTP  2/22/2026 12:34:59 AM ::1 Returned 200 in 1 ms
 HTTP  2/22/2026 12:34:59 AM ::1 GET /favicon.ico
 HTTP  2/22/2026 12:34:59 AM ::1 Returned 404 in 1 ms
 HTTP  2/22/2026 12:36:21 AM ::1 GET /
 HTTP  2/22/2026 12:36:21 AM ::1 Returned 200 in 3 ms
 HTTP  2/22/2026 12:36:21 AM ::1 GET /style.css
 HTTP  2/22/2026 12:36:21 AM ::1 Returned 200 in 0 ms
 HTTP  2/22/2026 12:36:21 AM ::1 GET /app.js
 HTTP  2/22/2026 12:36:21 AM ::1 Returned 200 in 0 ms
 HTTP  2/22/2026 12:36:21 AM ::1 GET /favicon.ico
 HTTP  2/22/2026 12:36:21 AM ::1 Returned 404 in 2 ms
 HTTP  2/22/2026 12:37:46 AM ::1 GET /
 HTTP  2/22/2026 12:37:46 AM ::1 Returned 304 in 1 ms
 HTTP  2/22/2026 12:37:46 AM ::1 GET /style.css
 HTTP  2/22/2026 12:37:46 AM ::1 GET /app.js
 HTTP  2/22/2026 12:37:46 AM ::1 Returned 304 in 1 ms
 HTTP  2/22/2026 12:37:46 AM ::1 Returned 304 in 1 ms
